K,inertia,silhouette,calinski_harabasz,davies_bouldin
2,18730.28970852542,0.1662547992189176,391.0417079941297,2.0999810436624253
3,17301.69305019867,0.13354378009598042,289.25214217041105,2.193327572166462
4,16352.893112417303,0.11408997611854088,240.29240523382302,2.3832913126365853
5,15609.647258367,0.10450345413757951,211.08124175737575,2.2819291333264617
6,14950.107249202725,0.1101445685808234,192.79766009058784,2.0451367565261878
7,14413.653872161489,0.10774338334056564,178.205079766375,2.1065347672449004
8,13888.238065290067,0.10914612420965829,168.5857905126185,1.8853416917266062
9,13401.227605244307,0.10775048464338025,161.3137385805038,1.814541959120059
10,13077.204408640084,0.10230076564921758,152.02656108618496,1.8345269562236493
